Data,Spam
"Best wishes,",0
[Your Post 1],0
Free access,1
Thank you for signing up for [your company name]’s news center. We’ll be updating you on occasion about [products/services you offer] and other updates about [your company].,0
Accept credit cards,1
"If you need any further explanation or assistance, please reach me anytime at [contact telephone number].",0
Only $,1
Talks about hidden charges,1
Copy accurately,1
Potential earnings,1
[Footnote with company details],0
Free offer,1
Online biz opportunity,1
Cash bonus,1
[Your email signature],0
Gift certificate,1
[Your email signature],0
Direct email,1
Offer ends on [date].,0
Big bucks,1
[Your email signature],0
"Hi [guest name],",0
Learn more >>,0
Unsubscribe,0
[Your email signature],0
[Button or link to progress bar/visual representation inside the email],0
Billion dollars,1
Save big money,1
Order now,1
No claim forms,1
We’re so glad to have you on board.,0
Here’s a roundup of the last week’s [articles/blog posts].,0
[Benefit #2],0
Investment decision,1
Stainless steel,1
My name is [your name]; I’m the founder of [name of your business].,0
"I’ve been following your company for a while, and it looks like you’re trying to [explain a specific goal or pain point of the prospective client].",0
Compare rates,1
[Your email signature],0
Pure profit,1
"This is a friendly reminder that payment on invoice [invoice number], which we sent on [date invoice was first sent out], is due today.",0
email address,0
[A few words about the speaker and what value their talk will bring to attendees],0
[Name of venue and location],0
"Best wishes,",0
[Company address],0
We just wanted to check in to make sure you’re not missing out on [name of product or service]’s most powerful features.,0
Buying judgments,1
One hundred percent free,1
"I tried giving you a call and left you a voicemail, as I thought it might be useful to quickly speak and learn a bit more about what you hope to get from [product/service name].",0
For instant access,1
For free,1
Bill,1
Subscription — $XXX,0
_______________________________,0
Subject to credit,1
Refinance home,1
"Kind regards,",0
This will be fun! Pinky promise.,0
"Also, here is the link you can share with your audience: [link to the episode]",0
[Footnote with company details],0
Claims to be legal,1
Please do not hesitate to get in touch should you have queries or require any further assistance.,0
Dear friend,1
"If you’re interested, here are two articles I’ve written within the same niche:",0
"My name is [your name], and I’m the founder of [name of your business]. We’ve been around for [number of years], and have a growing audience within the [niche name].",0
Click to remove mailto,1
Billing date: mm/dd/yyyy,0
Looking forward to hearing from you!,0
View your current progress:,0
"Looking forward to hearing from you,",0
You can send your questions to [email address for questions/online form].,0
The offer will be active for ,0
"Welcome to [company name], and thank you for signing up! Please enjoy [discount amount] off your first purchase at [URL to website]. Just enter [discount code] at checkout.",0
"If for any reason you wish to cancel your appointment, please let us know at least 24 hours before the appointment. ",0
